"City Name","Month -Year","Monthly mean/average concentration - PM2.5","Monthly mean concentration - PM10","Monthly mean concentration - NO2","Monthly mean concentration - SO2","Monthly mean concentration - O3","No of AQM Sensors / Environmental sensors deployed"
"Chandigarh","Dec-20","52.14","106.54","31.63","8.37","20.39","NA"
"Chandigarh","Nov-20","57.15","118.24","31.08","8.62","23.47","NA"
"Chandigarh","Oct-20","49.27","120.69","26.72","7.63","34.15","NA"
"Chandigarh","Sep-20","31.45","79.11","8.2","5.45","28.38","NA"
"Chandigarh","Aug-20","15.31","33.9","9.31","8.65","15.03","NA"
"Chandigarh","Jul-20","33.04","79.65","33.97","16.05","29.99","NA"
"Chandigarh","Jun-20","39.81","84.52","22.69","19.44","76.86","NA"
"Chandigarh","May-20","35.88","127.44","15.44","22.74","73.43","NA"
"Chandigarh","Apr-20","25.02","58.57","20.58","16.79","47.72","NA"
"Chandigarh","Mar-20","33.04","79.65","33.97","16.05","29.99","NA"
"Chandigarh","Feb-20","61.63","138.78","42.04","14.57","29.47","NA"
"Chandigarh","Jan-20","73.94","152.79","33.82","16.59","22.97","NA"
"Chandigarh","Dec-19","103.02","199.74","35.76","12.44","18.2","NA"
"Chandigarh","Nov-19","110.26","207.79","45.23","14.72","32.85","NA"
"Chandigarh","Oct-19","107.78","203.08","12.2","19.01","53.72","NA"
"Chandigarh","Sep-19","29.38","80.09","4.3","14.2","27.02","NA"
"Chandigarh","Aug-19","NA","62.45","5.05","4.77","23.34","NA"
"Chandigarh","Jul-19","39.75","93.54","7.38","21.5","26.24","NA"
"Chandigarh","Jun-19","NA","NA","NA","NA","NA","NA"
"Chandigarh","May-19","NA","NA","NA","NA","NA","NA"
"Chandigarh","Apr-19","NA","NA","NA","NA","NA","NA"
"Chandigarh","Mar-19","NA","NA","NA","NA","NA","NA"
"Chandigarh","Feb-19","NA","NA","NA","NA","NA","NA"
"Chandigarh","Jan-19","NA","NA","NA","NA","NA","NA"
"Chandigarh Industrial area ","Dec-18","122","191","50","2","NA","NA"
"Chandigarh Industrial area ","Nov-18","86","139","31","2","NA","NA"
"Chandigarh Industrial area ","Oct-18","49","101","32","2","NA","NA"
"Chandigarh Industrial area ","Sep-18","34","64","21","2","NA","NA"
"Chandigarh Industrial area ","Aug-18","31","66","18","2","NA","NA"
"Chandigarh Industrial area ","Jul-18","37","69","16","2","NA","NA"
"Chandigarh Industrial area ","Jun-18","56","193","20","2","NA","NA"
